[3-5-11-13]*1,1/1,,13/12,11/10,,,143/120,,13/10,,,,,,,,,11/6,,
[3-5-7-13]*1,1/1,,13/12,,,7/6,,,13/10,,7/5,,91/60,,,,,,,
[1-3-7-13]*5,1/1,,13/12,,,7/6,,,,,,,,,13/8,7/4,,,91/48,
[1-3-11-13]*5,1/1,,13/12,,,,,,,11/8,,143/96,,,13/8,,,11/6,,
[3-5-7-11]*1,1/1,,,11/10,,7/6,,77/60,,,7/5,,,,,,,11/6,,
[1-5-11-13]*3,1/1,,,11/10,,,,,13/10,11/8,,,,,13/8,,143/80,,,
[1-5-7-11]*3,1/1,,,11/10,,,,,,11/8,7/5,,,,,7/4,,,,77/40
[1-5-7-13]*3,1/1,,,,91/80,,,,13/10,,7/5,,,,13/8,7/4,,,,
[1-3-7-11]*5,1/1,,,,,7/6,,,,11/8,,,,77/48,,7/4,,11/6,,
[1-5-7-11]*13,,1001/960,13/12,,,,143/120,,,,,143/96,91/60,,,,,,91/48,
[1-3-7-13]*11,,1001/960,,11/10,,,143/120,77/60,,,,,,,,,143/80,,,77/40
[1-3-7-11]*13,,1001/960,,,91/80,,143/120,,13/10,,,,91/60,,,,143/80,,,
[1-3-11-13]*7,,1001/960,,,91/80,,,77/60,,,7/5,,91/60,,,,,,,77/40
[3-5-7-11]*13,,1001/960,,,91/80,,,,,,,143/96,,,13/8,,143/80,,91/48,
[3-5-11-13]*7,,1001/960,,,91/80,,,,,,,,,77/48,,7/4,,,91/48,77/40
[1-5-11-13]*7,,1001/960,,,,7/6,,77/60,,,,,91/60,77/48,,,,,91/48,
[1-5-7-13]*11,,1001/960,,,,,143/120,77/60,,,,143/96,,77/48,,,,11/6,,
[3-5-7-13]*11,,1001/960,,,,,,,,11/8,,143/96,,77/48,,,143/80,,,77/40
[1-3-5-7]*13,,,13/12,,91/80,,,,13/10,,,,91/60,,13/8,,,,91/48,
[5-7-11-13]*1,,,13/12,,,7/6,143/120,77/60,,,,,91/60,,,,,11/6,,
[1-7-11-13]*5,,,13/12,,,7/6,,,,,,143/96,,77/48,,,,11/6,91/48,
[1-3-5-11]*13,,,13/12,,,,143/120,,13/10,,,143/96,,,13/8,,143/80,,,
[1-7-11-13]*3,,,,11/10,91/80,,,,13/10,,7/5,,,,,,143/80,,,77/40
[3-7-11-13]*1,,,,11/10,,,143/120,77/60,13/10,,7/5,,91/60,,,,,,,
[1-3-5-13]*11,,,,11/10,,,143/120,,,11/8,,143/96,,,,,143/80,11/6,,
[1-3-5-7]*11,,,,11/10,,,,77/60,,11/8,,,,77/48,,,,11/6,,77/40
[1-3-5-13]*7,,,,,91/80,7/6,,,,,7/5,,91/60,,,7/4,,,91/48,
[5-7-11-13]*3,,,,,91/80,,,,,11/8,,,,,13/8,7/4,143/80,,,77/40
[1-3-5-11]*7,,,,,,7/6,,77/60,,,7/5,,,77/48,,7/4,,,,77/40
[3-7-11-13]*5,,,,,,,,,,11/8,,143/96,,77/48,13/8,7/4,,,91/48,
